"","query.number","significant","p.value","term.size","query.size","overlap.size","precision","recall","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","purple",TRUE,0.00282,15,1110,8,0.007,0.533,"GO:0042219","BP",7,"cellular modified amino acid catabolic process",1,"GGT1,PRODH,ACADL,SARDH,GGACT,ALDH1L1,PCYOX1L,HOGA1",8.93570613837366
"2","purple",TRUE,2.41e-05,1644,1110,159,0.143,0.097,"GO:0044281","BP",6,"small molecule metabolic process",1,"PON1,ALDH3B1,COX15,OSBPL5,PNKP,RETSAT,ENTPD2,ACAA1,IDH3G,SREBF1,VPS9D1,MCCC1,CAD,ACOX3,SULT2B1,SLC9A1,SEC14L2,GGT1,PRODH,SLC16A8,CYP2D6,GTPBP1,CYB5R3,SLC25A17,GSTZ1,MTHFD1,PCK2,GSS,SLC35A2,TSTA3,SARS2,ETFB,PLA2G4C,GCDH,PON3,AIMP2,AK1,PTGDS,ALDOC,PPARGC1A,MVK,HARS2,NME5,EHHADH,NIT2,RBP1,ABHD14B,ACADL,DARS,FARSB,MECR,CTH,HMGCL,GALE,FAAH,ACOT2,B4GALT4,NT5C3A,ACADS,SARDH,NT5C,ITPA,ASL,PPCS,SRD5A3,TST,ALDH1A2,CLN6,PGLS,NDUFA10,ATPIF1,SLC35D2,RGN,CKMT2,HRSP12,COQ10A,FPGS,DPM2,BPHL,PPCDC,NDUFA9,MMAB,CYP11A1,PMM2,NUDT7,GCSH,G6PC3,PFKL,PYCR2,THNSL2,ALDH1L1,AMT,PCYOX1L,ADHFE1,SURF1,PTGES2,PDSS1,FUOM,TM7SF2,PDK1,HKDC1,TYSND1,COX6A2,GHRL,FUK,CRTC2,BDH1,ACOX1,HAAO,ALDH1A1,CRYL1,FAAH2,AK8,NDUFV1,GLYCTK,GSTM4,ADAL,GUSB,HARS,ETFDH,GPHN,CYP4F11,QARS,BSG,FGGY,CES2,DCAKD,ACOT4,ACAD9,IMPDH2,ALOX12B,D2HGDH,DHTKD1,PRKAG1,IDH2,SLC25A10,ACSM5,UPP1,ADSSL1,NAT8L,CYP2R1,CYP4F12,PLCD1,UROS,SULT1A1,SULT1A2,OXCT2,HSD17B8,NT5M,HEXA,PLIN5,FADS3,PPP1R3E,ADSL,HOGA1,AMACR,DECR2,BCKDHA,NUDT18",3.03885756764053
"3","purple",TRUE,0.000183,886,1110,96,0.086,0.108,"GO:0006082","BP",6,"organic acid metabolic process",2,"PON1,ACAA1,IDH3G,MCCC1,CAD,ACOX3,SULT2B1,SLC9A1,GGT1,PRODH,SLC16A8,CYP2D6,CYB5R3,SLC25A17,GSTZ1,MTHFD1,GSS,SARS2,ETFB,PLA2G4C,GCDH,PON3,AIMP2,PTGDS,ALDOC,PPARGC1A,HARS2,EHHADH,NIT2,ABHD14B,ACADL,DARS,FARSB,MECR,CTH,HMGCL,FAAH,ACOT2,B4GALT4,ACADS,SARDH,ASL,TST,ALDH1A2,SLC35D2,RGN,CKMT2,HRSP12,FPGS,BPHL,NUDT7,GCSH,PFKL,PYCR2,THNSL2,ALDH1L1,AMT,PCYOX1L,ADHFE1,PTGES2,PDK1,HKDC1,TYSND1,ACOX1,HAAO,CRYL1,FAAH2,GSTM4,GUSB,HARS,ETFDH,CYP4F11,QARS,BSG,CES2,ACOT4,ACAD9,ALOX12B,D2HGDH,DHTKD1,PRKAG1,IDH2,ACSM5,NAT8L,CYP4F12,UROS,SULT1A1,SULT1A2,HSD17B8,HEXA,PLIN5,FADS3,HOGA1,AMACR,DECR2,BCKDHA",4.05248342890963
"4","purple",TRUE,9.44e-05,874,1110,96,0.086,0.11,"GO:0043436","BP",6,"oxoacid metabolic process",3,"PON1,ACAA1,IDH3G,MCCC1,CAD,ACOX3,SULT2B1,SLC9A1,GGT1,PRODH,SLC16A8,CYP2D6,CYB5R3,SLC25A17,GSTZ1,MTHFD1,GSS,SARS2,ETFB,PLA2G4C,GCDH,PON3,AIMP2,PTGDS,ALDOC,PPARGC1A,HARS2,EHHADH,NIT2,ABHD14B,ACADL,DARS,FARSB,MECR,CTH,HMGCL,FAAH,ACOT2,B4GALT4,ACADS,SARDH,ASL,TST,ALDH1A2,SLC35D2,RGN,CKMT2,HRSP12,FPGS,BPHL,NUDT7,GCSH,PFKL,PYCR2,THNSL2,ALDH1L1,AMT,PCYOX1L,ADHFE1,PTGES2,PDK1,HKDC1,TYSND1,ACOX1,HAAO,CRYL1,FAAH2,GSTM4,GUSB,HARS,ETFDH,CYP4F11,QARS,BSG,CES2,ACOT4,ACAD9,ALOX12B,D2HGDH,DHTKD1,PRKAG1,IDH2,ACSM5,NAT8L,CYP4F12,UROS,SULT1A1,SULT1A2,HSD17B8,HEXA,PLIN5,FADS3,HOGA1,AMACR,DECR2,BCKDHA",4.06178188981931
"5","purple",TRUE,7.18e-05,797,1110,90,0.081,0.113,"GO:0019752","BP",6,"carboxylic acid metabolic process",4,"PON1,ACAA1,IDH3G,MCCC1,CAD,ACOX3,SLC9A1,GGT1,PRODH,SLC16A8,CYP2D6,CYB5R3,SLC25A17,GSTZ1,MTHFD1,GSS,SARS2,ETFB,PLA2G4C,GCDH,PON3,AIMP2,PTGDS,ALDOC,PPARGC1A,HARS2,EHHADH,NIT2,ACADL,DARS,FARSB,MECR,CTH,HMGCL,FAAH,ACOT2,ACADS,SARDH,ASL,TST,ALDH1A2,RGN,CKMT2,HRSP12,FPGS,BPHL,NUDT7,GCSH,PFKL,PYCR2,THNSL2,ALDH1L1,AMT,PCYOX1L,ADHFE1,PTGES2,PDK1,HKDC1,TYSND1,ACOX1,HAAO,CRYL1,FAAH2,GSTM4,GUSB,HARS,ETFDH,CYP4F11,QARS,BSG,CES2,ACOT4,ACAD9,ALOX12B,D2HGDH,DHTKD1,PRKAG1,IDH2,ACSM5,NAT8L,CYP4F12,UROS,HSD17B8,HEXA,PLIN5,FADS3,HOGA1,AMACR,DECR2,BCKDHA",4.18451345500885
"6","purple",TRUE,0.0434,453,1110,52,0.047,0.115,"GO:0032787","BP",6,"monocarboxylic acid metabolic process",5,"PON1,ACAA1,MCCC1,ACOX3,GGT1,SLC16A8,CYP2D6,SLC25A17,GSTZ1,ETFB,PLA2G4C,GCDH,PON3,PTGDS,ALDOC,PPARGC1A,EHHADH,NIT2,ACADL,MECR,FAAH,ACOT2,ACADS,ALDH1A2,NUDT7,PFKL,THNSL2,PTGES2,PDK1,HKDC1,TYSND1,ACOX1,CRYL1,FAAH2,GSTM4,ETFDH,CYP4F11,BSG,CES2,ACOT4,ACAD9,ALOX12B,D2HGDH,PRKAG1,ACSM5,CYP4F12,HSD17B8,PLIN5,FADS3,HOGA1,AMACR,DECR2",4.78905028158355
"7","purple",TRUE,0.0171,1991,1110,171,0.154,0.086,"GO:0009056","BP",6,"catabolic process",1,"MPO,PON1,ALDH3B1,PNPLA4,RHBDF1,IFT88,MRTO4,ENTPD2,ACAA1,GPC1,RNF126,PRKACA,SREBF1,MCCC1,ACOX3,HSD17B14,SLC9A1,PCBP4,SCFD1,CIRBP,GGT1,PRODH,DEPDC5,CYP2D6,GTPBP1,SLC25A17,GSTZ1,APEX1,PYGB,ABHD12,TSC2,RNASEH2A,ETFB,PLA2G4C,GCDH,PON3,RPL28,RNF43,NAGLU,ALDOC,ATG2A,ANAPC15,PSMD9,DAP,FAF2,EHHADH,NPRL2,ACADL,MECR,CTH,HMGCL,GALE,CDC20,FAAH,EXOSC8,NT5C3A,ACADS,GIPC1,SARDH,SDC4,KIF25,NT5C,RBCK1,ITPA,HECTD3,CAPNS1,NUP214,SRD5A3,TST,CLN6,CDC16,RPL36,POMT1,CHMP2A,ATPIF1,ITGB4,HRSP12,GSTM3,GGACT,CCDC115,TOR1A,RPL35,PARN,NUDT7,GCSH,FBXO15,PFKL,LYPLAL1,THNSL2,ALDH1L1,AMT,LIX1,PCYOX1L,RPL10,PXDNL,ADHFE1,FAU,TIRAP,FBXO4,SUPV3L1,HKDC1,TYSND1,UBXN11,ZFAND2B,KCNE2,PSMD4,VPS11,RPL8,BDH1,ACOX1,TNFSF13,TPCN2,HAAO,RPL9,MTMR14,HMGB2,ALDH1A1,CRYL1,PSMC3,DDB1,POLR2G,GLYCTK,FEN1,GSTM4,ADAL,RNF181,TMEM129,GUSB,ATP6V0E2,ETFDH,CYP4F11,CES2,PSMD1,GLMN,CHMP6,ANAPC2,MAN1B1,ACOT4,RPLP2,CHID1,RAD23A,SGSH,PRKAG1,MTA1,UPP1,PKP3,FAF1,PSMD13,NDUFA13,CYP4F12,C17ORF97,SULT1A1,ARRDC1,SULT1A2,FBXL22,ATG7,OXCT2,TRIM39,NT5M,COLQ,HEXA,FIS1,PLIN5,HOGA1,AMACR,DECR2,AMY2A,BCKDHA,DYX1C1,IKBKG,NUDT18",3.57415318246847
"8","purple",TRUE,0.0203,1830,1110,159,0.143,0.087,"GO:0044248","BP",6,"cellular catabolic process",2,"MPO,PON1,ALDH3B1,PNPLA4,RHBDF1,IFT88,MRTO4,ENTPD2,ACAA1,GPC1,RNF126,PRKACA,SREBF1,MCCC1,ACOX3,SLC9A1,PCBP4,SCFD1,CIRBP,GGT1,PRODH,DEPDC5,CYP2D6,GTPBP1,SLC25A17,GSTZ1,APEX1,PYGB,ABHD12,TSC2,RNASEH2A,ETFB,PLA2G4C,GCDH,PON3,RPL28,RNF43,ALDOC,ATG2A,ANAPC15,PSMD9,DAP,FAF2,EHHADH,NPRL2,ACADL,MECR,CTH,HMGCL,CDC20,FAAH,EXOSC8,NT5C3A,ACADS,GIPC1,SARDH,KIF25,NT5C,RBCK1,ITPA,HECTD3,CAPNS1,NUP214,SRD5A3,TST,CDC16,RPL36,POMT1,CHMP2A,ATPIF1,ITGB4,HRSP12,GSTM3,CCDC115,TOR1A,RPL35,PARN,NUDT7,GCSH,FBXO15,PFKL,THNSL2,ALDH1L1,AMT,LIX1,PCYOX1L,RPL10,PXDNL,ADHFE1,FAU,TIRAP,FBXO4,SUPV3L1,HKDC1,TYSND1,UBXN11,ZFAND2B,KCNE2,PSMD4,VPS11,RPL8,BDH1,ACOX1,TNFSF13,TPCN2,HAAO,RPL9,MTMR14,HMGB2,CRYL1,PSMC3,DDB1,POLR2G,FEN1,GSTM4,ADAL,RNF181,TMEM129,GUSB,ATP6V0E2,ETFDH,CYP4F11,PSMD1,GLMN,CHMP6,ANAPC2,MAN1B1,ACOT4,RPLP2,CHID1,RAD23A,SGSH,PRKAG1,MTA1,UPP1,PKP3,FAF1,PSMD13,CYP4F12,C17ORF97,SULT1A1,ARRDC1,SULT1A2,FBXL22,ATG7,OXCT2,TRIM39,NT5M,COLQ,HEXA,FIS1,PLIN5,HOGA1,AMACR,DECR2,BCKDHA,DYX1C1,IKBKG,NUDT18",3.75111753715397
"9","purple",TRUE,1.13e-09,346,1110,60,0.054,0.173,"GO:0044282","BP",6,"small molecule catabolic process",2,"PON1,ENTPD2,ACAA1,MCCC1,ACOX3,SLC9A1,PRODH,SLC25A17,GSTZ1,ETFB,GCDH,PON3,ALDOC,EHHADH,ACADL,MECR,CTH,HMGCL,GALE,FAAH,NT5C3A,ACADS,SARDH,NT5C,SRD5A3,TST,HRSP12,NUDT7,GCSH,PFKL,THNSL2,ALDH1L1,AMT,PCYOX1L,ADHFE1,TYSND1,BDH1,ACOX1,HAAO,ALDH1A1,CRYL1,GLYCTK,ADAL,GUSB,ETFDH,CYP4F11,ACOT4,UPP1,CYP4F12,SULT1A1,SULT1A2,OXCT2,NT5M,HEXA,PLIN5,HOGA1,AMACR,DECR2,BCKDHA,NUDT18",5.57417401310394
"10","purple",TRUE,0.00863,1639,1110,147,0.132,0.09,"GO:1901575","BP",6,"organic substance catabolic process",1,"PON1,ALDH3B1,PNPLA4,RHBDF1,MRTO4,ENTPD2,ACAA1,GPC1,RNF126,PRKACA,MCCC1,ACOX3,HSD17B14,SLC9A1,PCBP4,CIRBP,GGT1,PRODH,CYP2D6,GTPBP1,SLC25A17,GSTZ1,APEX1,PYGB,ABHD12,RNASEH2A,ETFB,PLA2G4C,GCDH,PON3,RPL28,RNF43,NAGLU,ALDOC,ANAPC15,PSMD9,FAF2,EHHADH,ACADL,MECR,CTH,HMGCL,GALE,CDC20,FAAH,EXOSC8,NT5C3A,ACADS,GIPC1,SARDH,SDC4,NT5C,RBCK1,ITPA,HECTD3,NUP214,SRD5A3,TST,CLN6,CDC16,RPL36,POMT1,ATPIF1,HRSP12,GGACT,CCDC115,TOR1A,RPL35,PARN,NUDT7,GCSH,FBXO15,PFKL,LYPLAL1,THNSL2,ALDH1L1,AMT,PCYOX1L,RPL10,ADHFE1,FAU,TIRAP,FBXO4,SUPV3L1,HKDC1,TYSND1,UBXN11,ZFAND2B,KCNE2,PSMD4,VPS11,RPL8,BDH1,ACOX1,TNFSF13,HAAO,RPL9,HMGB2,ALDH1A1,CRYL1,PSMC3,DDB1,POLR2G,GLYCTK,FEN1,ADAL,RNF181,TMEM129,GUSB,ETFDH,CYP4F11,PSMD1,GLMN,ANAPC2,MAN1B1,ACOT4,RPLP2,CHID1,RAD23A,SGSH,PRKAG1,MTA1,UPP1,PKP3,FAF1,PSMD13,NDUFA13,CYP4F12,C17ORF97,SULT1A1,ARRDC1,SULT1A2,FBXL22,ATG7,OXCT2,TRIM39,NT5M,COLQ,HEXA,PLIN5,HOGA1,AMACR,DECR2,AMY2A,BCKDHA,DYX1C1,NUDT18",3.8077817577543
