"","query.number","significant","p.value","term.size","query.size","overlap.size","precision","recall","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","salmon4",TRUE,4.07e-06,1644,235,52,0.221,0.032,"GO:0044281","BP",3,"small molecule metabolic process",1,"PON1,ALDH3B1,UQCRC1,PRSS3,OSBPL5,MSMO1,FAR2,IDH3G,SDHA,MCCC1,BCKDHB,HSD3B7,SEC14L2,GSTZ1,ERH,GSS,SLC52A3,ACSBG1,DECR1,TSTA3,IL4I1,PPIF,ALDOC,PPARGC1A,CPT1A,MVK,HMGCS1,NIT2,FAAH,ACAT2,NT5C3A,SARDH,ASL,TST,IVD,NDUFA10,ACSS2,FADS2,RLBP1,PCYOX1L,FADS1,PDK1,FDPS,ALDH1A1,CRYL1,CYP4F11,GBA,GLDC,NAT8L,ACADSB,GK,NDUFS3",3.03885756764053
"2","salmon4",TRUE,7.78e-05,346,235,20,0.085,0.058,"GO:0044282","BP",3,"small molecule catabolic process",2,"PON1,MCCC1,BCKDHB,GSTZ1,DECR1,IL4I1,ALDOC,CPT1A,FAAH,ACAT2,NT5C3A,SARDH,TST,IVD,PCYOX1L,ALDH1A1,CRYL1,CYP4F11,GLDC,ACADSB",5.57417401310394
"3","salmon4",TRUE,0.0025,1101,235,35,0.149,0.032,"GO:0006629","BP",3,"lipid metabolic process",1,"PON1,ALDH3B1,OSBPL5,MSMO1,HSD3B7,SEC14L2,GSTZ1,ABHD12,ACSBG1,DECR1,PPARGC1A,CPT1A,MVK,HMGCS1,FAAH,ACAT2,IVD,ACSS2,PEMT,FADS2,BBS4,RLBP1,ABHD1,FADS1,PDK1,FDPS,ALDH1A1,BSCL2,CYP4F11,ORMDL3,GBA,ACADSB,GK,NEU4,TM6SF2",3.71926185732277
"4","salmon4",TRUE,0.016,847,235,28,0.119,0.033,"GO:0044255","BP",3,"cellular lipid metabolic process",2,"PON1,ALDH3B1,OSBPL5,MSMO1,GSTZ1,ABHD12,ACSBG1,DECR1,PPARGC1A,CPT1A,MVK,FAAH,ACAT2,IVD,PEMT,FADS2,RLBP1,ABHD1,FADS1,PDK1,FDPS,ALDH1A1,CYP4F11,ORMDL3,GBA,ACADSB,GK,NEU4",4.01289062874841
"5","salmon4",TRUE,0.0015,886,235,31,0.132,0.035,"GO:0006082","BP",3,"organic acid metabolic process",1,"PON1,MSMO1,IDH3G,SDHA,MCCC1,BCKDHB,HSD3B7,GSTZ1,GSS,ACSBG1,DECR1,IL4I1,ALDOC,PPARGC1A,CPT1A,NIT2,FAAH,ACAT2,SARDH,ASL,TST,IVD,FADS2,PCYOX1L,FADS1,PDK1,CRYL1,CYP4F11,GLDC,NAT8L,ACADSB",4.05248342890963
"6","salmon4",TRUE,0.00112,874,235,31,0.132,0.035,"GO:0043436","BP",3,"oxoacid metabolic process",2,"PON1,MSMO1,IDH3G,SDHA,MCCC1,BCKDHB,HSD3B7,GSTZ1,GSS,ACSBG1,DECR1,IL4I1,ALDOC,PPARGC1A,CPT1A,NIT2,FAAH,ACAT2,SARDH,ASL,TST,IVD,FADS2,PCYOX1L,FADS1,PDK1,CRYL1,CYP4F11,GLDC,NAT8L,ACADSB",4.06178188981931
"7","salmon4",TRUE,0.000148,797,235,31,0.132,0.039,"GO:0019752","BP",3,"carboxylic acid metabolic process",3,"PON1,MSMO1,IDH3G,SDHA,MCCC1,BCKDHB,HSD3B7,GSTZ1,GSS,ACSBG1,DECR1,IL4I1,ALDOC,PPARGC1A,CPT1A,NIT2,FAAH,ACAT2,SARDH,ASL,TST,IVD,FADS2,PCYOX1L,FADS1,PDK1,CRYL1,CYP4F11,GLDC,NAT8L,ACADSB",4.18451345500885
"8","salmon4",TRUE,0.0056,453,235,20,0.085,0.044,"GO:0032787","BP",3,"monocarboxylic acid metabolic process",4,"PON1,MSMO1,MCCC1,HSD3B7,GSTZ1,ACSBG1,DECR1,ALDOC,PPARGC1A,CPT1A,NIT2,FAAH,ACAT2,IVD,FADS2,FADS1,PDK1,CRYL1,CYP4F11,ACADSB",4.78905028158355
"9","salmon4",TRUE,0.00895,276,235,15,0.064,0.054,"GO:0006631","BP",3,"fatty acid metabolic process",5,"PON1,MSMO1,GSTZ1,ACSBG1,DECR1,PPARGC1A,CPT1A,FAAH,ACAT2,IVD,FADS2,FADS1,PDK1,CYP4F11,ACADSB",5.29083662525617
"10","salmon4",TRUE,1e-04,223,235,16,0.068,0.072,"GO:0016054","BP",3,"organic acid catabolic process",2,"PON1,MCCC1,BCKDHB,GSTZ1,DECR1,IL4I1,CPT1A,FAAH,ACAT2,SARDH,TST,IVD,PCYOX1L,CRYL1,GLDC,ACADSB",5.90718404199668
