"","query.number","significant","p.value","term.size","query.size","overlap.size","precision","recall","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","darkgrey",TRUE,0.0108,30,402,7,0.017,0.233,"GO:0090218","BP",1,"positive regulation of lipid kinase activity",1,"EPHA8,TEK,FLT3,ATG14,PDGFRA,AGAP2,PTK2",8.3603419934701
"2","darkgrey",TRUE,0.00499,27,402,7,0.017,0.259,"GO:0043552","BP",1,"positive regulation of phosphatidylinositol 3-kinase activity",1,"EPHA8,TEK,FLT3,ATG14,PDGFRA,AGAP2,PTK2",8.42488051460767
"3","darkgrey",TRUE,0.00281,25,402,7,0.017,0.28,"GO:0050919","BP",2,"negative chemotaxis",1,"SEMA3G,RHOA,SEMA3C,SEMA5A,SEMA3D,ROBO2,SLIT1",8.60720207140162
"4","darkgrey",TRUE,0.00551,707,402,37,0.092,0.052,"GO:0030054","CC",4,"cell junction",1,"MRC2,RHOA,LIMS2,PROCR,EPCAM,TEK,RAP2C,KIRREL2,FLRT1,KDR,FGF13,CAP1,PDGFRA,CDH24,PHLDB2,ITGB1,DLG5,PTPRR,CXADR,NLRX1,ARPC5,PDLIM5,CLDN1,AMOTL1,ADAM9,PTK2,RPS9,SNTB1,SYNPO2,CSPG4,DES,CDH5,SAPCD2,CHP1,AFAP1,DPP4,GJA5",3.90782580369025
"5","darkgrey",TRUE,0.0114,175,160,13,0.081,0.074,"KEGG:04360","keg",3,"Axon guidance",1,"SEMA3G,EPHA3,RHOA,EPHA8,SEMA3C,CXCL12,SEMA5A,ITGB1,SEMA3D,PTK2,ROBO2,SLIT1,NTNG2",NA
"6","lightgreen",TRUE,0.00216,279,324,19,0.059,0.068,"GO:0006909","BP",1,"phagocytosis",1,"WAS,CYBA,PYCARD,ARPC3,NCKAP1L,C3,ARPC1B,DOCK2,TLR2,VAV1,FCGR2A,FCGR1A,ITGB2,SYK,CD300A,ITGAM,FCGR3A,AIF1,CYFIP1",6.27700181137461
"7","lightgreen",TRUE,0.0072,50,324,8,0.025,0.16,"GO:0050764","BP",1,"regulation of phagocytosis",1,"CYBA,PYCARD,NCKAP1L,C3,DOCK2,TLR2,SYK,CD300A",7.62138527687886
"8","lightgreen",TRUE,0.00696,5256,324,134,0.414,0.025,"GO:0051179","BP",7,"localization",1,"ITGAL,SCIN,PRSS3,CD4,TYROBP,ALOX5,WAS,CD74,RNASET2,GRN,CYBA,HEBP2,KCNQ1,CASP8,STXBP2,PTPRC,FXYD5,ARHGAP4,CMTM6,ANGPT2,TREM2,GGA1,TSPO,SGSM3,NCF4,NFATC2,CTSZ,PYCARD,RIPK2,GSDMD,CD33,HAMP,PRKAG2,DOCK8,ABI3,CHIC2,CTSC,UNC93B1,SELPLG,ARPC3,PTPN6,DPYSL3,RAB32,VAMP8,WDR34,NPC2,NCKAP1L,SLPI,XPO5,ABCC4,BMP4,SLC25A19,C3,FGL2,RIPK3,RHBDF2,ARPC1B,GMFG,THOC6,DOCK2,HAVCR2,TLR2,CASP1,GLIPR1,ITGB7,RB1,ARRB2,WRAP53,MIEN1,VAV1,SCYL1,SLC2A5,CD53,FCGR2A,ANKRD53,LHFPL2,FCGR1A,CACNA2D4,KCNK13,LPCAT1,DISP1,SLA,ARHGAP27,HK2,ITGB2,MSX1,MNDA,CCR1,DTX3L,BRI3,SYK,CYBB,TTC7B,CCT2,B2M,RAB8A,LAIR1,CD300A,ULK4,LGALS9,PGM2,P2RY12,RNASE2,RNASE3,PTAFR,ITGAM,HDAC3,C3AR1,IL16,TLR1,UCP2,GPR35,HCLS1,CSF1R,RPS17,ZFP36L1,BCAP31,IFITM1,LILRB4,MCRS1,SERPINA1,SLC2A10,FCGR1B,FCGR3A,AIF1,CNEP1R1,TMSB4X,APOC2,NME2,SIGLEC14,IKBKE,APOC4,CYFIP1,ADORA3",2.22126595766034
"9","lightgreen",TRUE,0.0105,4108,324,110,0.34,0.027,"GO:0051234","BP",7,"establishment of localization",2,"ITGAL,SCIN,PRSS3,CD4,TYROBP,ALOX5,WAS,CD74,RNASET2,GRN,CYBA,HEBP2,KCNQ1,CASP8,STXBP2,PTPRC,FXYD5,CMTM6,GGA1,TSPO,SGSM3,NCF4,CTSZ,PYCARD,RIPK2,GSDMD,CD33,HAMP,PRKAG2,CHIC2,CTSC,UNC93B1,ARPC3,PTPN6,RAB32,VAMP8,WDR34,NPC2,NCKAP1L,SLPI,XPO5,ABCC4,BMP4,SLC25A19,C3,FGL2,RHBDF2,ARPC1B,GMFG,THOC6,DOCK2,HAVCR2,TLR2,CASP1,GLIPR1,ARRB2,WRAP53,VAV1,SCYL1,SLC2A5,CD53,FCGR2A,ANKRD53,LHFPL2,FCGR1A,CACNA2D4,KCNK13,LPCAT1,DISP1,ARHGAP27,HK2,ITGB2,MNDA,CCR1,DTX3L,BRI3,SYK,CYBB,CCT2,B2M,RAB8A,LAIR1,CD300A,LGALS9,PGM2,RNASE2,RNASE3,PTAFR,ITGAM,HDAC3,C3AR1,IL16,TLR1,UCP2,GPR35,HCLS1,CSF1R,RPS17,ZFP36L1,BCAP31,SERPINA1,SLC2A10,FCGR1B,FCGR3A,AIF1,TMSB4X,APOC2,NME2,SIGLEC14,CYFIP1",2.4579648404211
"10","lightgreen",TRUE,0.0175,4007,324,107,0.33,0.027,"GO:0006810","BP",7,"transport",3,"ITGAL,SCIN,PRSS3,CD4,TYROBP,ALOX5,WAS,CD74,RNASET2,GRN,CYBA,HEBP2,KCNQ1,CASP8,STXBP2,PTPRC,FXYD5,CMTM6,GGA1,TSPO,SGSM3,NCF4,CTSZ,PYCARD,RIPK2,GSDMD,CD33,HAMP,PRKAG2,CHIC2,CTSC,UNC93B1,ARPC3,PTPN6,RAB32,VAMP8,WDR34,NPC2,NCKAP1L,SLPI,XPO5,ABCC4,BMP4,SLC25A19,C3,FGL2,RHBDF2,ARPC1B,GMFG,THOC6,DOCK2,HAVCR2,TLR2,CASP1,GLIPR1,ARRB2,VAV1,SCYL1,SLC2A5,CD53,FCGR2A,LHFPL2,FCGR1A,CACNA2D4,KCNK13,LPCAT1,DISP1,ARHGAP27,ITGB2,MNDA,CCR1,DTX3L,BRI3,SYK,CYBB,CCT2,B2M,RAB8A,LAIR1,CD300A,LGALS9,PGM2,RNASE2,RNASE3,PTAFR,ITGAM,HDAC3,C3AR1,IL16,TLR1,UCP2,GPR35,HCLS1,CSF1R,RPS17,ZFP36L1,BCAP31,SERPINA1,SLC2A10,FCGR1B,FCGR3A,AIF1,TMSB4X,APOC2,NME2,SIGLEC14,CYFIP1",2.48374481483514
