"","query.number","significant","p.value","term.size","query.size","overlap.size","precision","recall","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","darkgreen",TRUE,0.0258,813,347,35,0.101,0.043,"GO:0006886","BP",4,"intracellular protein transport",1,"ZC3H3,ACOX3,EDEM2,RNF31,EMD,NUP93,ACD,TIMM50,CDC37,NAPA,RPL28,CBLB,SPCS1,HMGCL,TIMM17B,HACL1,EXOC4,NUP210,EIF5A,AP3B1,ERBB2,HAX1,RPL10,VIPAS39,HEATR3,DDX19B,RPL8,SCG5,ACOT4,HGS,BCAP31,AP2A1,DDX39B,TBC1D26,PDCD6",4.69758195058979
"2","darkgreen",TRUE,0.0299,1639,347,57,0.164,0.035,"GO:1901575","BP",1,"organic substance catabolic process",1,"AP2S1,ANAPC4,GPC1,ACOX3,EDEM2,GTPBP1,LGMN,TRPC4AP,CLN5,BCKDK,PLA2G4C,PPP2R1A,RPL28,PRPF19,CD81,MECR,CTH,HMGCL,GALE,SARDH,GPCPD1,RBCK1,LSM7,HACL1,WDR61,FBXO15,PMAIP1,ALDH1L1,PCYOX1L,RPL10,TNKS1BP1,SIDT2,ALDOA,NBAS,ANAPC1,UBXN11,PADI4,RPL8,HAAO,HMGB2,PGAM2,EXOSC1,ACOT4,CHID1,PRKAG1,GPC6,UPP1,FAF1,HGS,BCAP31,CLN3,SULT1A1,FLNA,AP2A1,ENTPD6,OXCT2,COLQ",3.8077817577543
"3","darkgreen",TRUE,0.0285,9648,347,227,0.654,0.024,"GO:0005737","CC",3,"cytoplasm",1,"RHBDD2,ELAC2,DNAH9,BTK,CAPN1,OSBPL5,B4GALT7,NSUN2,AP2S1,TRIT1,PHKA2,GEMIN8,CTPS2,FOXP3,FAM160A2,ANAPC4,PTPRN,GPC1,RDH11,CRMP1,AP1M1,MCM2,SLC35C2,ACOX3,PPP1R15A,ALG6,EDEM2,OSGEP,RNF31,CENPM,KDELR3,GTPBP1,RAB36,LGMN,PCK2,NINL,SLC35A2,EMD,PORCN,CLN5,CCDC113,BCKDK,AAGAB,NUCB1,TIMM50,TBCB,CDC37,NAPA,PLA2G4C,PPP2R1A,MYL7,LARP4B,RPL28,RECQL5,FOXRED1,PRPF19,SLC22A18,MVK,WNT5B,HARS2,APBB3,CBLB,SPCS1,SLC30A3,MECR,CTH,GPR89A,HMGCL,GALE,CENPF,ALDH8A1,PIGZ,CRY2,HPCA,HS3ST2,RPAP2,SARDH,SNAI1,CHCHD5,SNRPD2,RBCK1,NRSN2,MRPS26,CAPNS1,TIMM17B,FBXL12,PKMYT1,APOBEC3F,LSM7,NDUFA10,HACL1,EXOC4,PDHA1,LRRC41,WBP2,EIF5A,AP3B1,FADS2,HNRNPA1,USP15,ITM2C,BZW2,DDX56,DBNL,DPM2,SPAG8,MMAB,WDR61,CYP11A1,FBXO15,PMAIP1,ERBB2,GPN2,CRABP2,MRPL9,HAX1,ACTA1,ARF1,ALDH1L1,PCYOX1L,CDCA5,FATE1,CETN2,RPL10,TNKS1BP1,GLB1L2,SIDT2,DUSP15,TM7SF2,ALDOA,DOC2A,NPAS3,ME3,VIPAS39,NBAS,PDK1,ANAPC1,SLC25A28,MOV10,RBM45,DDX19B,CBR3,PADI4,ATAD3B,G6PD,S100B,MED27,MYL3,RPL8,HAAO,MRPL55,HMGB2,PGAM2,NUDT2,LETM2,C9ORF9,TAF10,SCG5,RAB4B,COPS6,TMEM223,ASMTL,THBS3,HSPB3,CCDC8,SPNS1,SERPINB9,TTLL6,NDUFA3,EXOSC1,TRAPPC12,STARD5,TMEM134,CCS,SLC16A11,YIF1A,ATR,DPP7,ACOT4,ATOX1,ACAD9,MYOZ1,CHID1,IMPDH2,MLF1,NDUFAF3,ALOX12B,MYLPF,SSR4,PRKAG1,IDH2,GPC6,UPP1,ACTG1,KNTC1,FAF1,HGS,SMYD3,TMEM179B,STAC3,BCAP31,PLCD1,CLN3,SULT1A1,TPK1,FLNA,AP2A1,ANXA4,HTT,ENTPD6,GPAA1,DDX39B,OXCT2,CD247,HMGN2,PRC1,HLA-C,CPNE1,FANCG,MYBPHL,NSUN6,NAT6,DDOST,PDCD6,CDK3,MAP1LC3B2,NDUFA7",1.14744902579554
"4","darkgreen",TRUE,0.0452,8082,347,196,0.565,0.024,"GO:0044422","CC",2,"organelle part",1,"RHBDD2,ELAC2,DNAH9,ZC3H3,CAPN1,B4GALT7,NSUN2,AP2S1,TRIT1,GEMIN8,FOXP3,ANAPC4,MED29,GPC1,RDH11,CRMP1,AP1M1,MCM2,SLC35C2,ACOX3,PPP1R15A,ALG6,EDEM2,OSGEP,SUPT16H,CENPM,KDELR3,RAB36,LGMN,PCK2,CRNKL1,RBBP8,SLC35A2,EMD,PORCN,CLN5,NUP93,ACD,CCDC113,BCKDK,AAGAB,NUCB1,CCDC61,TIMM50,NAPA,PLA2G4C,PPP2R1A,MYL7,CDH23,LARP4B,RPL28,RECQL5,FOXRED1,PRPF19,SLC22A18,WNT5B,E2F3,HARS2,CBLB,RRP9,SPCS1,MECR,GPR89A,HMGCL,CENPF,PIGZ,CRY2,HS3ST2,RPAP2,SARDH,TTC21B,SNAI1,CHCHD5,SNRPD2,MRPS26,TIMM17B,PKMYT1,APOBEC3F,LSM7,NDUFA10,GINS2,HACL1,PDHA1,NUP210,WBP2,EIF5A,AP3B1,FADS2,NAT10,HNRNPA1,DDX56,DBNL,DPM2,MMAB,WDR61,CYP11A1,PMAIP1,ERBB2,PRDM15,CRABP2,MRPL9,HAX1,ACTA1,ARF1,PCYOX1L,CDCA5,FATE1,CETN2,RPL10,TNKS1BP1,INTS4,SIDT2,TM7SF2,ALDOA,DOC2A,NPAS3,ME3,NBAS,PDK1,ANAPC1,EME1,SLC25A28,DDX19B,CBR3,PADI4,ATAD3B,MED27,MYL3,RPL8,MRPL55,HMGB2,NUDT2,LETM2,SNAPC4,C9ORF9,POLL,TAF10,RAB4B,COPS6,NSMCE1,CCDC8,SPNS1,SERPINB9,TTLL6,TSEN34,NDUFA3,EXOSC1,TRAPPC12,RAD9A,SLC16A11,YIF1A,ATR,DPP7,ACOT4,ACAD9,MYOZ1,CHID1,IMPDH2,NDUFAF3,FAM156B,CITED4,MYLPF,SSR4,PRKAG1,IDH2,GPC6,UPP1,TBL3,ACTG1,KNTC1,UBOX5,FAF1,HGS,SMYD3,TMEM179B,STAC3,BCAP31,SETD4,CLN3,FLNA,AP2A1,ANXA4,HTT,GPAA1,DDX39B,OXCT2,PRC1,AGER,HLA-C,CPNE1,FANCG,MYBPHL,DDOST,PDCD6,MAP1LC3B2,NDUFA7",1.42400670158964
"5","darkgreen",TRUE,0.0427,7923,347,193,0.556,0.024,"GO:0044446","CC",2,"intracellular organelle part",1,"RHBDD2,ELAC2,DNAH9,ZC3H3,CAPN1,B4GALT7,NSUN2,AP2S1,TRIT1,GEMIN8,FOXP3,ANAPC4,MED29,GPC1,RDH11,CRMP1,AP1M1,MCM2,SLC35C2,ACOX3,PPP1R15A,ALG6,EDEM2,OSGEP,SUPT16H,CENPM,KDELR3,RAB36,LGMN,PCK2,CRNKL1,RBBP8,SLC35A2,EMD,PORCN,CLN5,NUP93,ACD,CCDC113,BCKDK,AAGAB,NUCB1,CCDC61,TIMM50,NAPA,PLA2G4C,PPP2R1A,MYL7,LARP4B,RPL28,RECQL5,FOXRED1,PRPF19,SLC22A18,WNT5B,E2F3,HARS2,CBLB,RRP9,SPCS1,MECR,GPR89A,HMGCL,CENPF,PIGZ,CRY2,HS3ST2,RPAP2,SARDH,SNAI1,CHCHD5,SNRPD2,MRPS26,TIMM17B,PKMYT1,APOBEC3F,LSM7,NDUFA10,GINS2,HACL1,PDHA1,NUP210,WBP2,EIF5A,AP3B1,FADS2,NAT10,HNRNPA1,DDX56,DBNL,DPM2,MMAB,WDR61,CYP11A1,PMAIP1,ERBB2,PRDM15,CRABP2,MRPL9,HAX1,ACTA1,ARF1,PCYOX1L,CDCA5,FATE1,CETN2,RPL10,TNKS1BP1,INTS4,SIDT2,TM7SF2,ALDOA,DOC2A,NPAS3,ME3,NBAS,PDK1,ANAPC1,EME1,SLC25A28,DDX19B,CBR3,PADI4,ATAD3B,MED27,MYL3,RPL8,MRPL55,HMGB2,NUDT2,LETM2,SNAPC4,C9ORF9,POLL,TAF10,RAB4B,COPS6,NSMCE1,CCDC8,SPNS1,SERPINB9,TTLL6,TSEN34,NDUFA3,EXOSC1,TRAPPC12,RAD9A,SLC16A11,YIF1A,ATR,DPP7,ACOT4,ACAD9,CHID1,IMPDH2,NDUFAF3,FAM156B,CITED4,MYLPF,SSR4,PRKAG1,IDH2,GPC6,UPP1,TBL3,ACTG1,KNTC1,UBOX5,FAF1,HGS,SMYD3,TMEM179B,STAC3,BCAP31,SETD4,CLN3,FLNA,AP2A1,ANXA4,HTT,GPAA1,DDX39B,OXCT2,PRC1,AGER,HLA-C,CPNE1,FANCG,MYBPHL,DDOST,PDCD6,MAP1LC3B2,NDUFA7",1.46724466181727
"6","darkolivegreen",TRUE,0.0193,82,447,11,0.025,0.134,"GO:0005179","MF",1,"hormone activity",1,"IGF1,PTHLH,NPY,VIP,CRH,SST,PNOC,NPPA,PENK,NMB,CORT",6.01706267294241
"7","darkolivegreen",TRUE,0.00445,24,447,7,0.016,0.292,"GO:0005184","MF",1,"neuropeptide hormone activity",2,"NPY,VIP,CRH,PNOC,NPPA,PENK,CORT",7.62650058537651
"8","darkolivegreen",TRUE,0.0426,19,279,5,0.018,0.263,"REAC:R-HSA-888590","rea",3,"GABA synthesis, release, reuptake and degradation",1,"RIMS1,DNAJC5,SLC32A1,GAD1,GAD2",NA
"9","darkolivegreen",TRUE,0.0156,95,279,11,0.039,0.116,"REAC:R-HSA-381119","rea",4,"Unfolded Protein Response (UPR)",1,"HSPA5,HERPUD1,DNAJB11,XBP1,EXOSC3,GOSR2,ATF4,SRPRB,HYOU1,ASNA1,EXOSC6",NA
"10","darkolivegreen",TRUE,0.0123,8,279,4,0.014,0.5,"REAC:R-HSA-194313","rea",2,"VEGF ligand-receptor interactions",1,"VEGFA,PGF,KDR,VEGFC",NA
