"","query.number","significant","p.value","term.size","query.size","overlap.size","precision","recall","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","pink",TRUE,0.0161,25,344,6,0.017,0.24,"GO:0050919","BP",1,"negative chemotaxis",1,"SEMA3G,RHOA,SEMA5A,SEMA3D,ROBO2,SLIT1",8.60720207140162
"2","paleturquoise",TRUE,6.88e-05,1194,295,47,0.159,0.039,"GO:0007267","BP",2,"cell-cell signaling",1,"PKP2,RASGRF1,WISP2,CAMK2A,TACR2,RFX3,WNT11,ACHE,PTHLH,SYNGR1,NTSR1,HTR2A,CBLN1,WNT2,RAB11FIP2,MPP2,CUX2,GABRG2,EPHA4,CHRNA2,OPRL1,PIN1,PCDH8,TOR1A,GABBR2,RBP4,HCN4,CNTN4,GLRA3,THY1,PRKCA,SYN2,NEUROD1,BSN,GDF9,CACNB2,BTRC,SDHAF2,KCNK3,AMER3,CHRM4,GPR88,GRIN2A,RELN,GRM7,SIPA1L1,DOC2B",4.22868157605703
"3","paleturquoise",TRUE,1.56e-07,412,295,29,0.098,0.07,"GO:0099536","BP",2,"synaptic signaling",2,"RASGRF1,CAMK2A,TACR2,ACHE,SYNGR1,NTSR1,HTR2A,CBLN1,MPP2,CUX2,GABRG2,EPHA4,CHRNA2,OPRL1,TOR1A,GABBR2,CNTN4,GLRA3,SYN2,BSN,CACNB2,KCNK3,CHRM4,GPR88,GRIN2A,RELN,GRM7,SIPA1L1,DOC2B",NA
"4","paleturquoise",TRUE,1.56e-07,412,295,29,0.098,0.07,"GO:0099537","BP",2,"trans-synaptic signaling",3,"RASGRF1,CAMK2A,TACR2,ACHE,SYNGR1,NTSR1,HTR2A,CBLN1,MPP2,CUX2,GABRG2,EPHA4,CHRNA2,OPRL1,TOR1A,GABBR2,CNTN4,GLRA3,SYN2,BSN,CACNB2,KCNK3,CHRM4,GPR88,GRIN2A,RELN,GRM7,SIPA1L1,DOC2B",NA
"5","paleturquoise",TRUE,1.47e-07,411,295,29,0.098,0.071,"GO:0098916","BP",2,"anterograde trans-synaptic signaling",4,"RASGRF1,CAMK2A,TACR2,ACHE,SYNGR1,NTSR1,HTR2A,CBLN1,MPP2,CUX2,GABRG2,EPHA4,CHRNA2,OPRL1,TOR1A,GABBR2,CNTN4,GLRA3,SYN2,BSN,CACNB2,KCNK3,CHRM4,GPR88,GRIN2A,RELN,GRM7,SIPA1L1,DOC2B",NA
"6","paleturquoise",TRUE,1.47e-07,411,295,29,0.098,0.071,"GO:0007268","BP",2,"chemical synaptic transmission",5,"RASGRF1,CAMK2A,TACR2,ACHE,SYNGR1,NTSR1,HTR2A,CBLN1,MPP2,CUX2,GABRG2,EPHA4,CHRNA2,OPRL1,TOR1A,GABBR2,CNTN4,GLRA3,SYN2,BSN,CACNB2,KCNK3,CHRM4,GPR88,GRIN2A,RELN,GRM7,SIPA1L1,DOC2B",4.72522598732577
"7","paleturquoise",TRUE,0.00261,170,295,14,0.047,0.082,"GO:0099177","BP",2,"regulation of trans-synaptic signaling",4,"RASGRF1,CAMK2A,ACHE,SYNGR1,CBLN1,MPP2,CUX2,EPHA4,TOR1A,CNTN4,GRIN2A,RELN,GRM7,SIPA1L1",NA
"8","paleturquoise",TRUE,0.00244,169,295,14,0.047,0.083,"GO:0050804","BP",2,"modulation of chemical synaptic transmission",5,"RASGRF1,CAMK2A,ACHE,SYNGR1,CBLN1,MPP2,CUX2,EPHA4,TOR1A,CNTN4,GRIN2A,RELN,GRM7,SIPA1L1",5.78820697634769
"9","paleturquoise",TRUE,0.00591,89,295,10,0.034,0.112,"GO:0048167","BP",2,"regulation of synaptic plasticity",1,"RASGRF1,CAMK2A,SYNGR1,CBLN1,MPP2,EPHA4,CNTN4,GRIN2A,RELN,SIPA1L1",6.71409010791328
"10","paleturquoise",TRUE,0.0493,4,295,3,0.01,0.75,"GO:0061101","BP",9,"neuroendocrine cell differentiation",1,"WNT11,BCCIP,INSM1",9.42818262347145
